"customer_id","stripe_customer_id","hubspot_vid","email","firstname","lastname","company","job_title","acquisition_channel","acquisition_channel_name","acquisition_channel_type","is_paid_acquisition","country","timezone","auth_provider","lifecycle_stage","initial_plan_id","initial_plan_tier","trial_start_date","trial_end_date","signup_date","last_active_date","is_active","has_churned","churn_date","locale","num_associated_deals","record_created_at"
"a85748ca-ecbc-4adb-8e74-78f8bdea192f","cus_y6dpbhsahxthv3",100001,"user1000@taskflow-demo.io","First0","Last0","Company 0","Product Manager","google_ads","Google Ads","Paid",1,"CA","America/Toronto","github","other","price_starter_monthly","starter","2024-11-23 08:44:05+01","2024-12-07 08:23:00+01","2024-11-23 14:09:00+01","2024-12-09 13:39:59+01","",1,"2025-01-22 23:51:47+01","en",1,"2024-11-23 14:09:00+01"
"5d436bb2-a95c-4e98-96c8-61930e2b2f25","cus_mdd4v30t9nt3w5",100012,"user1001@taskflow-demo.io","First1","Last1","Company 1","Founder","organic_search","Organic Search","Organic","","GH","Africa/Accra","email","customer","price_starter_annual","starter","2024-03-22 05:07:44+01","2024-04-05 23:09:24+01","2024-03-22 18:47:51+01","2024-07-29 23:17:47+01",1,"","","en",1,"2024-03-22 18:47:51+01"
"815de1b8-3b5a-424a-825a-cd114f49b467","cus_5nq4fmyzycwtiq",100017,"user1002@taskflow-demo.io","First2","Last2","Company 2","Software Engineer","google_ads","Google Ads","Paid",1,"NG","Africa/Lagos","google","other","price_starter_monthly","starter","2024-02-05 14:46:21+01","2024-02-19 15:50:41+01","2024-02-05 01:48:05+01","2024-03-06 06:00:43+01","",1,"2024-06-04 23:19:30+01","en",1,"2024-02-05 01:48:05+01"
"fe20706e-e165-43db-9acd-efa53596b67f","cus_c32oc6uzhr5xff",100027,"user1003@taskflow-demo.io","First3","Last3","Company 3","Analyst","organic_search","Organic Search","Organic","","NG","Africa/Lagos","email","customer","price_starter_monthly","starter","2024-11-23 17:24:08+01","2024-12-08 00:13:25+01","2024-11-23 13:42:35+01","2025-05-04 18:24:54+01",1,"","","en",1,"2024-11-23 13:42:35+01"
"51a0218e-e776-4656-ae1c-957978bd42c3","cus_9er14ffyvnvqjt",100029,"user1004@taskflow-demo.io","First4","Last4","Company 4","CTO","organic_search","Organic Search","Organic","","GB","Europe/London","email","customer","price_pro_monthly","pro","2024-05-14 11:01:15+01","2024-05-28 10:10:34+01","2024-05-14 02:12:32+01","2024-12-08 09:18:25+01",1,"","","en",1,"2024-05-14 02:12:32+01"
"d90fa6e4-420c-42a2-a4d6-44c8aeb5042e","cus_epq85jsg65kxvf",100037,"user1005@taskflow-demo.io","First5","Last5","Company 5","Marketing Manager","organic_search","Organic Search","Organic","","GB","Europe/London","email","customer","price_starter_annual","starter","2024-02-28 07:20:48+01","2024-03-13 13:46:22+01","2024-02-28 17:26:45+01","2025-03-29 12:58:32+01",1,"","","en",1,"2024-02-28 17:26:45+01"
"4925651f-d88f-4d67-9bcd-8eeed2ff23a6","cus_en93iiuc039tex",100047,"user1006@taskflow-demo.io","First6","Last6","Company 6","CTO","product_hunt","Product Hunt","Organic","","ZA","Africa/Johannesburg","github","customer","price_pro_monthly","pro","2025-02-02 22:41:09+01","2025-02-16 23:10:32+01","2025-02-02 12:59:19+01","2025-05-17 22:58:50+01",1,"","","en",1,"2025-02-02 12:59:19+01"
"d3b1c1ac-e9e8-4efa-8964-46379c40be7b","cus_0hl9xpseimvihc",100055,"user1007@taskflow-demo.io","First7","Last7","Company 7","Operations Lead","referral","Referral","Organic","","GB","Europe/London","email","customer","price_starter_monthly","starter","2024-09-27 01:09:49+01","2024-10-11 10:35:55+01","2024-09-27 14:29:52+01","2025-05-18 01:37:40+01",1,"","","en",1,"2024-09-27 14:29:52+01"
"f2eef9ce-5015-450e-95e0-939b51469d89","cus_he7ur23gdppq0y",100062,"user1008@taskflow-demo.io","First8","Last8","Company 8","Marketing Manager","product_hunt","Product Hunt","Organic","","ZA","Africa/Johannesburg","email","other","price_starter_monthly","starter","2024-02-04 10:25:26+01","2024-02-18 20:58:43+01","2024-02-04 18:04:20+01","2024-08-01 13:45:57+01","",1,"2024-10-01 16:02:23+01","en",1,"2024-02-04 18:04:20+01"
"675de9e0-437d-4aad-adaf-20656782b5fa","cus_qpki7p5tb94874",100065,"user1009@taskflow-demo.io","First9","Last9","Company 9","Analyst","organic_search","Organic Search","Organic","","DE","Europe/Berlin","email","other","price_starter_annual","starter","2024-07-25 03:14:24+01","2024-08-08 15:42:05+01","2024-07-25 12:35:00+01","2025-03-24 07:07:15+01","",1,"2025-04-21 06:36:25+01","en",1,"2024-07-25 12:35:00+01"
"d7c6d246-8c74-4c20-9f60-57101e4049c4","cus_9j2qp89uzfk8ut",100076,"user1010@taskflow-demo.io","First10","Last10","Company 10","Founder","google_ads","Google Ads","Paid",1,"KE","Africa/Nairobi","email","customer","price_starter_monthly","starter","2024-09-03 18:09:30+01","2024-09-17 05:40:13+01","2024-09-03 23:24:29+01","2025-03-13 18:18:15+01",1,"","","en",1,"2024-09-03 23:24:29+01"
