id,email,email_verified,created_at,updated_at,last_sign_in_at,raw_app_meta_data.provider,stripe_customer_id,is_deleted,timezone,locale
a85748ca-ecbc-4adb-8e74-78f8bdea192f,user1000@taskflow-demo.io,true,2024-11-23T13:09:00Z,2024-12-09T09:16:29Z,2024-12-09T12:39:59Z,github,cus_y6dpbhsahxthv3,false,America/Toronto,en
5d436bb2-a95c-4e98-96c8-61930e2b2f25,user1001@taskflow-demo.io,true,2024-03-22T17:47:51Z,2024-07-29T18:56:57Z,2024-07-29T22:17:47Z,email,cus_mdd4v30t9nt3w5,false,Africa/Accra,en
815de1b8-3b5a-424a-825a-cd114f49b467,user1002@taskflow-demo.io,true,2024-02-05T00:48:05Z,2024-03-06T18:21:26Z,2024-03-06T05:00:43Z,google,cus_5nq4fmyzycwtiq,false,Africa/Lagos,en
fe20706e-e165-43db-9acd-efa53596b67f,user1003@taskflow-demo.io,true,2024-11-23T12:42:35Z,2025-05-04T00:59:56Z,2025-05-04T17:24:54Z,email,cus_c32oc6uzhr5xff,false,Africa/Lagos,en
51a0218e-e776-4656-ae1c-957978bd42c3,user1004@taskflow-demo.io,true,2024-05-14T01:12:32Z,2024-12-08T05:38:34Z,2024-12-08T08:18:25Z,email,cus_9er14ffyvnvqjt,false,Europe/London,en
d90fa6e4-420c-42a2-a4d6-44c8aeb5042e,user1005@taskflow-demo.io,true,2024-02-28T16:26:45Z,2025-03-29T12:07:30Z,2025-03-29T11:58:32Z,email,cus_epq85jsg65kxvf,false,Europe/London,en
4925651f-d88f-4d67-9bcd-8eeed2ff23a6,user1006@taskflow-demo.io,true,2025-02-02T11:59:19Z,2025-05-17T15:08:43Z,2025-05-17T21:58:50Z,github,cus_en93iiuc039tex,false,Africa/Johannesburg,en
d3b1c1ac-e9e8-4efa-8964-46379c40be7b,user1007@taskflow-demo.io,true,2024-09-27T13:29:52Z,2025-05-18T01:45:34Z,2025-05-18T00:37:40Z,email,cus_0hl9xpseimvihc,false,Europe/London,en
f2eef9ce-5015-450e-95e0-939b51469d89,user1008@taskflow-demo.io,true,2024-02-04T17:04:20Z,2024-08-01T18:15:06Z,2024-08-01T12:45:57Z,email,cus_he7ur23gdppq0y,true,Africa/Johannesburg,en
675de9e0-437d-4aad-adaf-20656782b5fa,user1009@taskflow-demo.io,true,2024-07-25T11:35:00Z,2025-03-24T08:00:00Z,2025-03-24T06:07:15Z,email,cus_qpki7p5tb94874,false,Europe/Berlin,en
d7c6d246-8c74-4c20-9f60-57101e4049c4,user1010@taskflow-demo.io,true,2024-09-03T22:24:29Z,2025-03-13T06:41:14Z,2025-03-13T17:18:15Z,email,cus_9j2qp89uzfk8ut,false,Africa/Nairobi,en
84ca0a8f-0dde-4ed3-8e0c-d2e9556fcc29,user1011@taskflow-demo.io,true,2024-01-26T05:27:52Z,2024-03-31T04:53:08Z,2024-03-31T17:11:09Z,github,cus_cgvyie6ivwpvs7,false,Europe/London,en
0ccf9328-3727-4a4d-88b8-756a6b7ee337,user1012@taskflow-demo.io,true,2024-06-09T05:19:31Z,2025-06-15T06:10:34Z,2025-06-15T18:48:26Z,email,cus_l1cq99chj755nf,false,Africa/Nairobi,en
f517dcd8-dc32-4d31-ab6e-2de001976345,user1013@taskflow-demo.io,true,2024-11-09T10:01:42Z,2024-12-24T12:18:58Z,2024-12-24T14:30:11Z,github,cus_t7d5j60fkhmy4s,false,Europe/Berlin,en
f7c2ef0b-9b95-49e9-9526-ec64516d67c3,user1014@taskflow-demo.io,true,2025-03-09T10:35:36Z,2025-03-18T20:52:31Z,2025-03-18T00:21:01Z,email,cus_1wj0tpac56t4uf,false,America/New_York,en
7550d8ad-6dea-419d-a035-50bd7bde9134,user1015@taskflow-demo.io,true,2024-07-05T07:34:25Z,2025-01-18T11:43:50Z,2025-01-18T20:50:46Z,email,cus_hid25owf75935a,false,America/Toronto,en
cd5dec38-72d1-4ebd-b151-ed91e18ee775,user1016@taskflow-demo.io,true,2025-02-04T23:48:15Z,2025-05-31T23:15:31Z,2025-05-31T02:58:08Z,email,cus_j2d54i3qk2iagl,false,Europe/Berlin,en
6090b33b-8099-4f51-baaa-3a4e1a7e731f,user1017@taskflow-demo.io,true,2024-05-22T04:21:22Z,2024-12-05T23:28:36Z,2024-12-05T18:35:26Z,email,cus_la5ju9bvm2p9e6,false,Europe/London,en
3d689740-b935-40de-b47a-3d9271032927,user1018@taskflow-demo.io,true,2024-12-28T18:00:12Z,2025-03-18T17:42:44Z,2025-03-18T23:53:06Z,github,cus_70hp87wxe6sylz,false,Europe/London,en
34503f46-0ad3-4582-abb9-7da1c2e2a772,user1019@taskflow-demo.io,true,2024-08-03T16:41:36Z,2024-11-09T14:46:56Z,2024-11-09T21:40:07Z,google,cus_ktakpuxqphr62g,true,Africa/Nairobi,en
ba26d547-bb66-4f7d-bf99-ca3409c391ca,user1020@taskflow-demo.io,true,2024-12-05T16:42:09Z,2025-01-22T05:44:08Z,2025-01-22T02:29:11Z,email,cus_yihair4cowgzri,false,Africa/Accra,en
c1786355-8e91-43be-98db-17415633357a,user1021@taskflow-demo.io,true,2025-04-02T16:47:31Z,2025-05-03T14:16:27Z,2025-05-03T06:53:22Z,email,cus_g8sbi4q2y9v86w,false,America/Toronto,en
91069940-7a53-43f1-9fd7-ce6d52d525fb,user1022@taskflow-demo.io,true,2024-08-06T19:19:39Z,2024-08-21T18:34:54Z,2024-08-21T12:43:44Z,github,cus_rjiw1swjckjlte,false,America/New_York,en
6a1c083f-92f7-4340-b503-7d8cec8cc750,user1023@taskflow-demo.io,true,2024-03-19T05:08:25Z,2024-05-16T20:06:44Z,2024-05-16T19:27:59Z,email,cus_ohp6vz41nam148,false,Africa/Lagos,en
159ac321-0ec2-4047-a620-6899ec87b231,user1024@taskflow-demo.io,true,2025-01-11T22:33:44Z,2025-03-30T17:27:13Z,2025-03-30T13:19:23Z,email,cus_rny20479t6vxdp,false,America/New_York,en
da859367-c27c-4a3a-8d3f-d20771fe9d6f,user1025@taskflow-demo.io,true,2024-05-13T06:51:22Z,2024-07-07T09:09:56Z,2024-07-07T10:22:15Z,email,cus_n13jcat9mx2x18,false,Africa/Lagos,en
275d38d5-e2ef-4f47-b3fd-5ee2508630f0,user1026@taskflow-demo.io,true,2024-11-14T03:44:54Z,2025-04-24T18:09:06Z,2025-04-24T09:21:57Z,email,cus_hz1gv0e38daly8,false,Africa/Lagos,en
f82ef9e7-3f07-451b-b1e1-8041d4780ea1,user1027@taskflow-demo.io,true,2024-04-11T11:21:51Z,2024-05-21T02:53:30Z,2024-05-21T05:51:58Z,email,cus_4ve92mpnsm43d8,false,America/New_York,en
3167426b-653b-4fdf-a550-0dd9dc010687,user1028@taskflow-demo.io,true,2024-08-23T19:08:11Z,2024-11-17T07:08:45Z,2024-11-17T09:04:50Z,email,cus_j3trp0j43d5iqv,false,Europe/London,en
e54c5ca5-afc8-4557-bc7b-6ce30fbb67ba,user1029@taskflow-demo.io,true,2024-09-10T07:20:31Z,2025-01-16T12:07:04Z,2025-01-16T10:50:52Z,email,cus_m5zja8dzr1yxr2,false,Africa/Lagos,en
0e8241f7-fd44-4e63-9ba8-69626582981d,user1030@taskflow-demo.io,true,2024-07-26T07:27:37Z,2024-09-02T14:51:08Z,2024-09-02T23:22:25Z,github,cus_tp0lzjjeget1gh,false,Africa/Accra,en
37920d49-f1a8-417d-9969-a3280ee99608,user1031@taskflow-demo.io,true,2024-10-28T22:22:13Z,2024-12-14T21:54:38Z,2024-12-14T10:30:52Z,google,cus_kmkzebbk7w1dak,false,Europe/London,en
eb0e58b8-3c15-4c57-90e2-69d220c6172d,user1032@taskflow-demo.io,true,2024-04-04T13:14:09Z,2024-05-20T10:14:36Z,2024-05-20T02:21:55Z,github,cus_ocwbfuk9e1v2is,false,Africa/Lagos,en
59df24b5-2ef1-4873-ac81-91d4b02fcf33,user1033@taskflow-demo.io,true,2024-06-01T15:08:19Z,2024-08-13T20:14:38Z,2024-08-13T03:53:03Z,email,cus_v08hhxfgcaqvki,false,America/Sao_Paulo,en
ecb4f599-6c2c-4226-ab71-3d57208331f1,user1034@taskflow-demo.io,true,2025-03-16T22:32:54Z,2025-06-28T18:31:30Z,2025-06-28T13:18:00Z,email,cus_wx7ptx63cfl0uk,false,America/New_York,en
2b1d5a70-51a7-4c83-8dea-4b513031a91e,user1035@taskflow-demo.io,true,2024-06-04T11:27:07Z,2025-06-21T14:28:45Z,2025-06-21T02:21:24Z,google,cus_cbpljd84u89yjb,false,Asia/Kolkata,en
a76226a6-f8f2-4c53-9d95-29ae08804603,user1036@taskflow-demo.io,true,2024-11-29T00:43:33Z,2025-01-23T13:31:30Z,2025-01-23T16:21:48Z,email,cus_38qoldforxo1bd,false,Africa/Lagos,en
3fb4b418-a6b8-4405-a4f0-8162daa0fbd5,user1037@taskflow-demo.io,true,2025-01-30T06:56:16Z,2025-06-11T12:00:39Z,2025-06-11T11:08:06Z,email,cus_togn1w1ht7pze9,false,Europe/London,en
3e2188ad-0a1f-4b29-8200-750a158a226e,user1038@taskflow-demo.io,true,2024-12-29T22:27:52Z,2025-02-20T16:48:09Z,2025-02-20T19:13:56Z,email,cus_qe3rzsj49itn7s,true,America/New_York,en
9d1dfc62-9f83-444c-8fff-a3dfbc4b9589,user1039@taskflow-demo.io,true,2024-05-21T12:47:18Z,2025-02-03T03:49:35Z,2025-02-03T08:30:13Z,email,cus_ja04ux5qrl1n75,false,Africa/Johannesburg,en
4f60b48f-01b0-4fcb-aa32-9f002b2a8706,user1040@taskflow-demo.io,true,2024-07-15T20:54:24Z,2024-12-15T05:05:10Z,2024-12-15T15:36:42Z,email,cus_z3nx39rbsv55ps,false,America/Toronto,en
26781901-6364-4a0f-b687-f5e8f2d9aee6,user1041@taskflow-demo.io,true,2024-03-14T18:24:33Z,2024-09-30T06:28:16Z,2024-09-30T12:09:50Z,email,cus_8myx444nlz15bc,false,America/New_York,en
d5fdf0f1-d51a-4c94-bd09-9808fecfaa4a,user1042@taskflow-demo.io,true,2024-05-27T22:36:36Z,2024-07-24T04:44:58Z,2024-07-24T06:03:36Z,email,cus_py6b2knftu2gc5,true,America/Toronto,en
18578563-0955-478c-bce4-1a726d6fa0f6,user1043@taskflow-demo.io,true,2024-09-11T18:13:52Z,2024-11-25T15:21:22Z,2024-11-25T14:32:33Z,google,cus_y6qktc89k8yqk9,true,Africa/Lagos,en
a31cfb2f-8ccf-4ef8-a25a-33b3e2754be3,user1044@taskflow-demo.io,true,2024-07-14T12:41:04Z,2025-01-09T19:31:42Z,2025-01-09T11:16:24Z,email,cus_9xjuy0bvr6k2vm,false,America/New_York,en
ec54bcd4-f3d2-4f20-bdd6-5cddbd1710ae,user1045@taskflow-demo.io,true,2024-05-08T22:03:57Z,2024-06-30T06:17:41Z,2024-06-30T10:25:46Z,google,cus_w6xlpu0dk0get8,false,America/New_York,en
e0ab5aa6-b62f-40b8-a999-2809f58cc285,user1046@taskflow-demo.io,true,2024-05-19T12:47:31Z,2024-12-06T21:26:08Z,2024-12-06T03:34:07Z,google,cus_30me8f840982n2,false,Africa/Lagos,en
30cf2bd1-54f1-4783-a497-55054e73fe1c,user1047@taskflow-demo.io,true,2024-03-04T21:37:27Z,2024-08-08T00:05:56Z,2024-08-08T22:01:10Z,google,cus_37dia5u6hc36ko,false,America/New_York,en
4b01b2d4-76d4-4aa4-9dec-b278fe32a515,user1048@taskflow-demo.io,true,2024-01-20T04:44:44Z,2025-01-10T13:49:02Z,2025-01-10T14:10:15Z,email,cus_eqy08p0fodro8b,false,Europe/London,en
e7d463d6-4c20-4b3f-92ac-a8564f7f9997,user1049@taskflow-demo.io,true,2024-08-15T07:42:59Z,2025-03-02T07:39:21Z,2025-03-02T19:50:19Z,email,cus_t9moge4qxxva2i,false,Africa/Johannesburg,en
6034b4d4-1ca5-4474-aa2d-abc29508e107,user1050@taskflow-demo.io,true,2024-04-15T10:38:31Z,2024-05-01T08:32:07Z,2024-05-01T00:29:14Z,email,cus_lf6a4fejgxaa2i,false,America/Toronto,en
c1690484-e760-4987-9113-26b2a3beb41a,user1051@taskflow-demo.io,true,2024-05-15T22:39:04Z,2024-06-28T17:33:39Z,2024-06-28T11:11:30Z,github,cus_r2sds8b25sq8cr,false,America/Toronto,en
